infinitive,sg1,sg2,sg3,pl1,pl2,pl3
tener,tengo,tienes,tiene,tenemos,tenéis,tienen
comer,como,comes,come,comemos,coméis,comen
ver,veo,ves,ve,vemos,veis,ven
