infinitive
tener
comer
vivir
estar
ser
ir
hacer
ver
poder
querer
dar
leer
venir
hablar
saber
poner
salir
dormir
volver
jugar
escribir
encontrar
llegar
empezar
tomar
conocer
perder
dormir
gritar
traer
parecer
preferir
compartir
estudiar
